Id,Model,Age_08_04,Mfg_Month,Mfg_Year,KM,Fuel_Type,HP,Met_Color,Color,Automatic,cc,Doors,Cylinders,Gears,Quarterly_Tax,Weight,Mfr_Guarantee,BOVAG_Guarantee,Guarantee_Period,ABS,Airbag_1,Airbag_2,Airco,Automatic_airco,Boardcomputer,CD_Player,Central_Lock,Powered_Windows,Power_Steering,Radio,Mistlamps,Sport_Model,Backseat_Divider,Metallic_Rim,Radio_cassette,Tow_Bar,Price
47,TOYOTA Corolla 2.0 D4D 90 5DR TERRA 4/5-Doors,27,6,2002,79375,Diesel,90,1,Grey,0,2000,5,4,5,234,1255,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,17950
48,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,22,11,2002,75048,Petrol,97,1,Blue,0,1400,5,4,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,15800
49, TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,22,11,2002,72215,Diesel,90,1,Grey,0,2000,5,4,5,234,1255,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,17950
50,TOYOTA Corolla 1.8 16V VVTLI 5DR T SPORT 4/5-Doors,31,2,2002,64982,Petrol,192,1,Grey,0,1800,5,4,6,100,1195,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,21950
51,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,22,11,2002,62636,Diesel,90,1,Grey,0,2000,5,4,5,234,1255,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,17950
52, TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,30,3,2002,57086,Petrol,97,1,Grey,0,1400,5,4,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,15750
53,TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,26,7,2002,56000,Petrol,110,1,Blue,1,1600,5,4,5,100,1180,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,20500
54,TOYOTA Corolla 1.8 VVTL-i T-Sport 4/5-Doors,27,6,2002,49866,Petrol,192,1,Green,0,1800,5,4,5,100,1195,0,1,13,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,21950
55, TOYOTA Corolla 1.6 16V VVT I 5DR TERRA AUT4 4/5-Doors,25,8,2002,49163,Petrol,110,0,Green,1,1600,5,4,5,100,1165,0,1,3,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,15500
56, TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,32,1,2002,45725,Petrol,110,1,Black,0,1600,5,4,5,85,1075,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,13250
57,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,28,5,2002,43210,Petrol,97,0,Grey,0,1400,5,4,5,85,1110,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,15250
58,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,26,7,2002,43000,Petrol,97,0,Grey,0,1400,5,4,5,85,1110,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,15250
59, TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,23,10,2002,39704,Petrol,110,1,Blue,1,1600,5,4,5,100,1180,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,18950
60, TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,30,3,2002,38950,Petrol,110,1,Red,0,1600,5,4,5,85,1130,0,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,15999
61,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,22,11,2002,37400,Petrol,97,1,Black,0,1400,5,4,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,14950
62, TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,27,6,2002,37177,Petrol,110,0,Red,0,1600,5,4,5,85,1130,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,16500
63,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,31,2,2002,36544,Petrol,110,1,Blue,0,1600,5,4,5,85,1130,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,18750
64,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,30,3,2002,33511,Petrol,110,1,Blue,0,1600,5,4,5,85,1130,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,17950
65,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,27,6,2002,32809,Petrol,97,1,Black,0,1400,5,4,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,17950
66,TOYOTA Corolla 1.6 VVT-I 5DR LINEA SOL 4/5-Doors,26,7,2002,32181,Petrol,110,1,Blue,0,1600,5,4,5,19,1075,0,1,12,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,16950
67,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,28,5,2002,30993,Petrol,110,1,Black,0,1600,5,4,5,85,1130,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,18950
68,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,22,11,2002,30400,Petrol,97,1,Grey,0,1400,5,4,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,14950
69,TOYOTA Corolla 2.0 D4D 110 5DR SOL 4/5-Doors,22,11,2002,30000,Diesel,110,1,Grey,0,2000,5,4,5,234,1275,1,1,3,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,22250
70,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,25,8,2002,29719,Petrol,97,1,Black,0,1400,5,4,5,85,1110,1,1,3,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,15950
71, TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,28,5,2002,29206,Petrol,97,1,Grey,0,1400,5,4,5,85,1110,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,15950
72,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,32,1,2002,29198,Petrol,97,1,Grey,0,1400,5,4,5,85,1060,1,1,3,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,12995
73, TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,28,5,2002,28817,Petrol,110,1,Grey,0,1598,5,4,5,85,1130,1,1,3,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,18950
74, TOYOTA Corolla 1.4 16V VVT I 5DR 4/5-Doors,23,10,2002,28227,Petrol,97,1,Grey,0,1400,5,4,5,85,1110,0,1,3,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,15750
75, TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,28,5,2002,28000,Petrol,110,0,Black,0,1600,5,4,5,85,1130,1,0,3,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,19950
76,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,23,10,2002,28000,Petrol,110,1,Grey,0,1600,5,4,5,85,1115,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,16950
77,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,31,2,2002,25266,Petrol,110,1,Grey,0,1600,5,4,5,85,1130,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,18750
78,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,27,6,2002,23489,Petrol,110,0,Silver,0,1600,5,4,5,85,1115,0,1,3,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,18450
79,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,29,4,2002,22575,Petrol,110,1,Grey,0,1600,5,4,5,85,1115,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,16895
80,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,30,3,2002,22000,Petrol,97,1,Grey,0,1400,5,4,5,85,1110,1,1,3,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,14900
81,TOYOTA Corolla 1.6 5drs 1 4/5-Doors,25,8,2002,20019,Petrol,110,1,Blue,1,16000,5,4,5,100,1180,0,0,3,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,18950
82,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,29,4,2002,20000,Petrol,110,1,Grey,0,1600,5,4,5,85,1115,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,17250
83, TOYOTA Corolla 1.4 16V VVT I 5DR 4/5-Doors,25,8,2002,17003,Petrol,97,1,Grey,0,1400,5,4,5,85,1110,0,1,3,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,15450
84,TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,31,2,2002,16238,Petrol,110,1,Blue,1,1600,5,4,5,100,1180,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,17950
85, TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,25,8,2002,15414,Petrol,97,1,Grey,0,1400,5,4,5,85,1110,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,16650
86,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,28,5,2002,8537,Petrol,110,1,Grey,0,1600,5,4,5,85,1130,0,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,17450
87, TOYOTA Corolla 1.4 VVTI (Nw type) 4/5-Doors,30,3,2002,7000,Petrol,97,1,Silver,0,1400,5,4,5,85,1100,0,0,12,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,14900
88,TOYOTA Corolla 2.0 D4D 90 3DR TERRA COMF BNS 2/3-Doors,20,1,2003,66966,Diesel,90,1,Blue,0,2000,3,4,5,210,1245,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,17950
89,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,19,2,2003,51884,Petrol,97,1,Grey,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,15950
90,TOYOTA Corolla 2.0 D4D 110 3DR SOL 2/3-Doors,19,2,2003,50005,Diesel,110,1,Grey,0,2000,3,4,5,234,1265,1,1,3,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,21950
91,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,20,1,2003,48110,Petrol,97,1,Black,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,16450
92, TOYOTA Corolla 2.0 D4D 90 3DR SOL BNS 2/3-Doors,20,1,2003,37500,Diesel,90,1,Black,0,2000,3,4,5,234,1260,0,1,3,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,22250
93,TOYOTA Corolla 2.0 D 4D Linea Sol 3 Doors 2/3-Doors,16,5,2003,34472,Diesel,90,1,Grey,0,1995,3,4,5,234,1260,0,0,3,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,19950
94,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,20,1,2003,33329,Petrol,97,1,Grey,0,1400,3,4,5,85,1100,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,15950
95,TOYOTA Corolla 1.6 16v VVT-i Linea Sol 2/3-Doors,20,1,2003,31850,Petrol,110,0,Black,0,1600,3,4,5,85,1120,0,1,20,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,18900
96,TOYOTA Corolla 2.0 D4D Linea Sol 3 Doors 2/3-Doors,17,4,2003,30351,Diesel,90,1,Blue,0,1995,3,4,5,234,1260,0,0,3,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,19950
97, TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,19,2,2003,29435,Petrol,97,1,Black,0,1400,3,4,5,85,1100,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,15950
98,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,19,2,2003,25948,Petrol,97,1,Blue,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,15950
99,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,11,10,2003,24500,Petrol,110,1,Blue,0,1600,3,4,5,85,1120,0,0,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,18750
100,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,18,3,2003,23902,Petrol,97,1,Grey,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,17450
101, TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,20,1,2003,23175,Petrol,110,1,Grey,0,1600,3,4,5,85,1120,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,18990
102, TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,19,2,2003,19200,Petrol,97,1,Blue,0,1400,3,4,5,85,1100,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,16250
103,TOYOTA Corolla 1.4 VVT-i Sol 2/3-Doors,13,8,2003,18000,Petrol,71,0,Grey,0,1400,3,4,5,85,1125,0,1,12,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,18500
104,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors,11,10,2003,16123,Petrol,110,1,Grey,0,1600,3,4,5,85,1105,1,1,3,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,18500
105,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMF AUT 2/3-Doors,11,10,2003,14635,Petrol,110,1,Blue,1,1600,3,4,5,100,1155,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,19450
106, TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,19,2,2003,13748,Petrol,97,1,Green,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,16950
107, TOYOTA Corolla 1.6 VVT-i Linea Terra Comfort 2/3-Doors,14,7,2003,11500,Petrol,110,1,Blue,0,1600,3,4,5,69,1045,0,0,12,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,18800
108,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,17,4,2003,10000,Petrol,97,1,Grey,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,17450
109, TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors,20,1,2003,7187,Petrol,110,1,Blue,0,1600,3,4,5,85,1105,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,17950
111, TOYOTA Corolla VERSO 2.0 D4D SOL (7) BNS MPV,4,5,2004,1,Diesel,116,0,Grey,0,2000,5,4,5,283,1480,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,32500
